device,tau,experiment,stratification,kernel,counter,label,native_counter,n,spearman_rho,undefined_reason
H100,expert,3,all,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.06270832547985714,
H100,expert,3,all,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.7952010185116566,
H100,expert,3,all,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.03842829394060977,
H100,expert,3,all,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6201650426890273,
H100,expert,3,all,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.4672670706168949,
H100,expert,3,all,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.48313379587624117,
H100,expert,3,all,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9135535664629956,
H100,expert,3,all,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9075800344859954,
H100,expert,3,all,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.86169260681155,
H100,expert,3,all,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6228568186239107,
H100,expert,3,all,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8071681097724662,
H100,expert,3,all,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.5820288899426131,
H100,expert,3,all,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.8527571589539986,
H100,expert,3,all,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.922595055692061,
H100,expert,3,all,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9132565553938289,
H100,expert,3,issue,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.20690847392734044,
H100,expert,3,issue,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.8976140887879537,
H100,expert,3,issue,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.0667546110261423,
H100,expert,3,issue,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.16472205780900592,
H100,expert,3,issue,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.6955493225853482,
H100,expert,3,issue,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.0012765971380573687,
H100,expert,3,issue,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6843411047540944,
H100,expert,3,issue,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.4265276694504786,
H100,expert,3,issue,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.37137080304915876,
H100,expert,3,issue,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.9152385730772328,
H100,expert,3,issue,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.9225565514131892,
H100,expert,3,issue,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.8984543776137905,
H100,expert,3,issue,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.6184792641360563,
H100,expert,3,issue,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8026628805489212,
H100,expert,3,issue,softmax_bias,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.6357117276329078,
H100,expert,3,issue,stencil5,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.715826039165258,
H100,expert,3,issue,stencil5,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8967457482319227,
H100,expert,3,issue,stencil5,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.9302339300566866,
H100,expert,3,temporal,gemv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.2797039111251177,
H100,expert,3,temporal,gemv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.84037324301064,
H100,expert,3,temporal,gemv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.12660916283271811,
H100,expert,3,temporal,gesummv,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.06772181966121191,
H100,expert,3,temporal,gesummv,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.8293557871092174,
H100,expert,3,temporal,gesummv,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,-0.1090254438382172,
H100,expert,3,temporal,mvt,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.5566709177675437,
H100,expert,3,temporal,mvt,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,-0.4279419664487647,
H100,expert,3,temporal,mvt,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.5411984081657246,
H100,expert,3,temporal,embedding_bag,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.8903299711542441,
H100,expert,3,temporal,embedding_bag,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.8917474440972875,
H100,expert,3,temporal,embedding_bag,l2_read_misses,Read-sector misses,lts__t_sectors_op_read_lookup_miss.sum,100,0.8575547729374188,
H100,expert,3,temporal,softmax_bias,tex_source_l2_read_requests,Read requests,lts__t_requests_srcunit_tex_op_read.sum,100,0.5791596974791614,
H100,expert,3,temporal,softmax_bias,l2_read_work,Read sectors,lts__t_sectors_srcunit_tex_op_read.sum,100,0.830333199954806,
