device,tau,experiment,stratification,counter,label,median_spearman_rho,defined_kernels
MI300A,l1_to_l2,3,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,3,issue,l1_to_l2_total_requests,TCP→TCC total,0.958874153125012,6
MI300A,l1_to_l2,3,issue,l2_tag_requests,TCC tag requests,0.9497982017969062,6
MI300A,l1_to_l2,3,issue,second_level_read_requests,TCC reads,0.9525494819573418,6
MI300A,l1_to_l2,3,issue,l2_hits,TCC hits,0.9495668069282899,6
MI300A,l1_to_l2,3,issue,l2_misses,TCC misses,0.5010031461239386,6
MI300A,l1_to_l2,3,issue,l2_hit_rate_percent,TCC hit rate,0.9447945454297078,6
MI300A,l1_to_l2,3,temporal,l1_to_l2_read_requests,TCP→TCC reads,0.9488047384604484,6
MI300A,l1_to_l2,3,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,l1_to_l2,3,temporal,l1_to_l2_total_requests,TCP→TCC total,0.9488047384604484,6
MI300A,l1_to_l2,3,temporal,l2_tag_requests,TCC tag requests,0.9382237342607294,6
MI300A,l1_to_l2,3,temporal,second_level_read_requests,TCC reads,0.9447031825708541,6
MI300A,l1_to_l2,3,temporal,l2_hits,TCC hits,0.9399162689270123,6
MI300A,l1_to_l2,3,temporal,l2_misses,TCC misses,0.3633593855997237,6
MI300A,l1_to_l2,3,temporal,l2_hit_rate_percent,TCC hit rate,0.9344752975201787,6
MI300A,speedup,1,all,l1_to_l2_read_requests,TCP→TCC reads,-0.6812128440050826,3
MI300A,speedup,1,all,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,1,all,l1_to_l2_total_requests,TCP→TCC total,-0.6812128440050826,3
MI300A,speedup,1,all,l2_tag_requests,TCC tag requests,-0.6822086887906285,3
MI300A,speedup,1,all,second_level_read_requests,TCC reads,-0.6862062117078934,3
MI300A,speedup,1,all,l2_hits,TCC hits,-0.682515444839747,3
MI300A,speedup,1,all,l2_misses,TCC misses,-0.2747452145917782,3
MI300A,speedup,1,all,l2_hit_rate_percent,TCC hit rate,-0.6844517516638254,3
MI300A,speedup,1,issue,l1_to_l2_read_requests,TCP→TCC reads,-0.6221597698946432,3
MI300A,speedup,1,issue,l1_to_l2_write_requests,TCP→TCC writes,,0
MI300A,speedup,1,issue,l1_to_l2_total_requests,TCP→TCC total,-0.6221597698946432,3
MI300A,speedup,1,issue,l2_tag_requests,TCC tag requests,-0.6241322702678312,3
MI300A,speedup,1,issue,second_level_read_requests,TCC reads,-0.6262769823981263,3
MI300A,speedup,1,issue,l2_hits,TCC hits,-0.6246648943749981,3
MI300A,speedup,1,issue,l2_misses,TCC misses,-0.24265346879221106,3
MI300A,speedup,1,issue,l2_hit_rate_percent,TCC hit rate,-0.6234370353625799,3
MI300A,speedup,1,temporal,l1_to_l2_read_requests,TCP→TCC reads,-0.7555179390225403,3
MI300A,speedup,1,temporal,l1_to_l2_write_requests,TCP→TCC writes,,0
