platform,case,exp,tau,status,proposal,deployed,baseJ,proposedJ,accepted,baseline_us,speedup,identity_max_deviation,rejections,exclusion,path
matrix,jagged_mean--large,5,expert,incomplete,0,,,,,0,,,null,"{""category"": ""preflight_incomplete"", ""message"": ""Preflight did not finish; inspect the recorded scheduler job/log before retrying""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/jagged_mean--large/report.json
matrix,jagged_mean--small,5,expert,complete,0,0,0.0,0.0,True,5.157120227813721,0.9995863825874525,0.0004965281181734671,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/jagged_mean--small/report.json
matrix,jagged_softmax--large,5,expert,complete,1,0,1.4963886195397678,0.07691601825792871,False,97.98336029052734,1.0003593870604588,0.0019108528072890874,"[""n_regs increased: 36 -> 40"", ""load_instruction_count increased: 8 -> 26"", ""matrix instruction forms changed"", ""lowered memory instruction widths/counts changed"", ""matrix instruction count changed""]",null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/jagged_softmax--large/report.json
matrix,jagged_softmax--small,5,expert,complete,0,0,0.0,0.0,True,17.32095956802368,1.0584025669873842,0.027067043202589902,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/jagged_softmax--small/report.json
matrix,jagged_sum--large,5,expert,incomplete,0,,,,,0,,,null,"{""category"": ""preflight_incomplete"", ""message"": ""Preflight did not finish; inspect the recorded scheduler job/log before retrying""}",triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/jagged_sum--large/report.json
matrix,jagged_sum--small,5,expert,complete,0,0,0.0,0.0,True,5.723519921302795,0.9997386536160459,0.0005608413037470061,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/jagged_sum--small/report.json
matrix,layer_norm--large,5,expert,complete,0,0,0.0,0.0,True,96.10431671142578,0.9986456976624362,0.005461571673192056,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/layer_norm--large/report.json
matrix,layer_norm--small,5,expert,complete,0,0,0.0,0.0,True,6.651520133018494,0.9995512123873894,0.0013474148583860757,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/layer_norm--small/report.json
matrix,low_mem_dropout--large,5,expert,complete,0,0,0.56,0.56,True,198.38783264160156,0.9999687880144331,0.0005771743959440689,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/low_mem_dropout--large/report.json
matrix,low_mem_dropout--small,5,expert,complete,0,0,0.56,0.56,True,1.5558399260044098,1.0068924580723564,0.004524921547754079,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/low_mem_dropout--small/report.json
matrix,softmax--large,5,expert,complete,0,0,0.0,0.0,True,90.61375617980957,0.9980567363608356,0.00038831245781278945,[],null,triton/experiments/results/search-v2/tau-profiles/expert/experiment-5/matrix/softmax--large/report.json
